chr	TSS	Strand	Gene_symbol
chr9	74526148	-	ABHD17B
chr15	80987651	+	ABHD17C
chr15	89631380	+	ABHD2
chr18	19284766	-	ABHD3
chr14	23067146	+	ABHD4
chr3	43732374	+	ABHD5
chr3	58223258	+	ABHD6
chr19	17414282	-	ABHD8
chr10	27150016	-	ABI1
chr2	204192961	+	ABI2
chr17	47287588	+	ABI3
chr3	100712334	-	ABI3BP
chr9	133589267	+	ABL1
chr1	179198819	-	ABL2
chr10	116444414	-	ABLIM1
chr4	8160559	-	ABLIM2
chr5	148521045	+	ABLIM3
chr9	136150630	-	ABO
chr17	1090616	-	ABR
chr8	107782472	-	ABRA
chr6	139349818	+	ABRACL
chr6	26597170	+	ABT1
chr3	127391780	+	ABTB1
chr11	34379555	-	ABTB2
chr3	38178733	-	ACAA1
chr18	47340251	-	ACAA2
chr17	35766902	-	ACACA
chr12	109577201	+	ACACB
chr12	112123856	+	ACAD10
chr3	132378975	-	ACAD11
chr11	134123433	+	ACAD8
chr3	128598332	+	ACAD9
chr2	211090215	-	ACADL
chr1	76190031	+	ACADM
chr12	121163570	+	ACADS
chr10	124768428	+	ACADSB
chr17	7120443	+	ACADVL
chr15	89346673	+	ACAN
chr17	7239847	+	ACAP1
chr3	195163817	-	ACAP2
chr1	1243269	-	ACAP3
chr11	107992257	+	ACAT1
chr6	160182988	+	ACAT2
chr1	226374423	-	ACBD3
chr17	43209966	+	ACBD4
chr10	27531068	-	ACBD5
chr1	180472022	-	ACBD6
chr10	15130775	-	ACBD7
chr11	44087728	+	ACCS
chr11	44069530	+	ACCSL
chr16	67694718	-	ACD
chr17	61554421	+	ACE
chrX	15620192	-	ACE2
chr19	6333640	-	ACER1
chr9	19408924	+	ACER2
chr11	76571916	+	ACER3
chr7	100493592	-	ACHE
chr14	23564823	-	ACIN1
chr1	159173802	+	ACKR1
chr3	42850963	+	ACKR2
chr2	237478379	+	ACKR3
chr3	132316080	+	ACKR4
chr17	40075272	-	ACLY
chr2	135596185	+	ACMSD
chr7	96745904	+	ACN9
chr9	32384600	+	ACO1
chr22	41865128	+	ACO2
chr14	74003927	+	ACOT1
chr1	55013806	+	ACOT11
chr5	80689988	-	ACOT12
chr6	24667262	+	ACOT13
chr14	74034323	+	ACOT2
chr14	74058409	+	ACOT4
chr14	74083547	+	ACOT6
chr1	6453826	-	ACOT7
chr20	44486048	-	ACOT8
chrX	23761407	-	ACOT9
chr17	73975515	-	ACOX1
chr3	58522929	-	ACOX2
chr4	8442452	-	ACOX3
chr2	111490149	+	ACOXL
chr2	264868	+	ACP1
chr11	47270457	-	ACP2
chr19	11689801	-	ACP5
chr1	147142634	-	ACP6
chr3	132036210	+	ACPP
chr19	51293671	+	ACPT
chr22	51176651	+	ACR
chr12	6756580	-	ACRBP
chrX	70797873	+	ACRC
chr11	125550793	-	ACRV1
chr15	78527049	-	ACSBG1
chr19	6135643	+	ACSBG2
chr17	48503518	+	ACSF2
chr16	89160216	+	ACSF3
chr4	185747268	-	ACSL1
chr2	223725731	+	ACSL3
chrX	108976621	-	ACSL4
chr10	114133915	+	ACSL5
chr5	131347761	-	ACSL6
chr16	20702578	-	ACSM1
chr16	20462858	+	ACSM2A
chr16	20587695	-	ACSM2B
chr16	20775311	+	ACSM3
chr12	7456927	+	ACSM4
chr16	20420855	+	ACSM5
chr10	96953956	+	ACSM6
chr20	25038818	-	ACSS1
chr20	33462765	+	ACSS2
chr12	81471808	+	ACSS3
chr1	229569843	-	ACTA1
chr10	90751147	-	ACTA2
chr10	90692440	+	ACTA2-AS1
chr7	5570232	-	ACTB
chr5	56778636	-	ACTBL2
chr15	35087927	-	ACTC1
chr17	79479892	-	ACTG1
chr1	104112025	+	ACTG1P4
chr2	74120092	+	ACTG2
chr20	32254303	+	ACTL10
chr3	179280707	+	ACTL6A
chr7	100254084	-	ACTL6B
chr9	111624507	+	ACTL7A
chr9	111618275	-	ACTL7B
chr1	18081807	+	ACTL8
chr19	8809180	-	ACTL9
chr14	69446083	-	ACTN1
chr14	69446398	+	ACTN1-AS1
chr1	236849753	+	ACTN2
chr11	66313865	+	ACTN3
chr19	39138266	+	ACTN4
chr14	58666832	+	ACTR10
chr10	104262512	-	ACTR1A
chr2	98280561	-	ACTR1B
chr2	65454828	+	ACTR2
chr2	114647510	+	ACTR3
chr7	152456833	+	ACTR3B
chr2	92129158	+	ACTR3BP2
chr10	38989726	+	ACTR3BP5
chr7	150020758	-	ACTR3C
chr20	37377096	+	ACTR5
chr12	100593864	+	ACTR6
chr3	53916229	-	ACTR8
chrX	127186382	-	ACTRT1
chr1	2938045	+	ACTRT2
chr3	169487683	-	ACTRT3
chr2	158732374	-	ACVR1
chr12	52345450	+	ACVR1B
chr2	158485399	-	ACVR1C
chr2	148602085	+	ACVR2A
chr3	38495789	+	ACVR2B
chr3	38496311	-	ACVR2B-AS1
chr12	52301201	+	ACVRL1
chr3	52017299	+	ACY1
chr11	67418130	-	ACY3
chr14	75530736	-	ACYP1
chr2	54342409	+	ACYP2
chr20	43280376	-	ADA
chr4	123300120	+	ADAD1
chr16	84224722	+	ADAD2
chr15	43622553	+	ADAL
chr15	59042177	-	ADAM10
chr17	42836567	+	ADAM11
chr10	128077127	-	ADAM12
chr1	155023747	+	ADAM15
chr2	9695917	-	ADAM17
chr8	39442086	+	ADAM18
chr5	157002831	-	ADAM19
chr12	112336866	+	ADAM1A
chr8	39695808	-	ADAM2
chr14	71001732	-	ADAM20
chr14	70950473	-	ADAM20P1
chr14	70918873	+	ADAM21
chr14	70714518	-	ADAM21P1
chr7	87563565	+	ADAM22
chr2	207308367	+	ADAM23
chr8	24151579	+	ADAM28
chr4	175839508	+	ADAM29
chr1	120439147	-	ADAM30
chr8	38965049	+	ADAM32
chr20	3662778	-	ADAM33
chr8	39380508	-	ADAM3A
chr8	39172181	+	ADAM5
chr14	106438358	-	ADAM6
chr8	24298508	+	ADAM7
chr10	135090407	-	ADAM8
chr8	38854504	+	ADAM9
chr8	24241797	+	ADAMDEC1
chr21	28217728	-	ADAMTS1
chr19	8675620	-	ADAMTS10
chr5	33892124	-	ADAMTS12
chr9	136279458	+	ADAMTS13
chr10	72432558	+	ADAMTS14
chr11	130318868	+	ADAMTS15
chr5	5140442	+	ADAMTS16
chr15	100882183	-	ADAMTS17
chr16	77469011	-	ADAMTS18
chr5	128796102	+	ADAMTS19
chr5	128796382	-	ADAMTS19-AS1
chr5	178772431	-	ADAMTS2
chr12	43945724	-	ADAMTS20
chr4	73434516	-	ADAMTS3
chr1	161168845	-	ADAMTS4
chr21	28339439	-	ADAMTS5
chr5	64777704	-	ADAMTS6
chr15	79103773	-	ADAMTS7
chr15	82585620	+	ADAMTS7P1
chr11	130298539	-	ADAMTS8
chr3	64673365	-	ADAMTS9
chr3	64547021	+	ADAMTS9-AS1
chr3	64670545	+	ADAMTS9-AS2
chr9	18474078	+	ADAMTSL1
chr9	136397285	+	ADAMTSL2
chr15	84322837	+	ADAMTSL3
chr1	150521844	+	ADAMTSL4
chr1	150547028	-	ADAMTSL4-AS1
chr19	1513188	-	ADAMTSL5
chr7	995043	-	ADAP1
chr17	29248753	+	ADAP2
chr1	154600456	-	ADAR
chr21	46494492	+	ADARB1
chr10	1779670	-	ADARB2
chr10	1568824	+	ADARB2-AS1
chr16	75657221	-	ADAT1
chr6	143771841	-	ADAT2
chr19	1905370	+	ADAT3
chr14	78266425	+	ADCK1
chr7	140372952	+	ADCK2
chr1	227127937	+	ADCK3
chr19	41222790	-	ADCK4
chr8	145597703	+	ADCK5
chr7	45613738	+	ADCY1
chr1	167883464	-	ADCY10
chr6	41068772	+	ADCY10P1
chr5	7396342	+	ADCY2
chr2	25142055	-	ADCY3
chr14	24804277	-	ADCY4
chr3	123167392	-	ADCY5
chr12	49182820	-	ADCY6
chr16	50300450	+	ADCY7
chr8	132052835	-	ADCY8
chr16	4166186	-	ADCY9
chr18	904943	+	ADCYAP1
chr7	31092075	+	ADCYAP1R1
chr4	2845583	+	ADD1
chr2	70995375	-	ADD2
chr10	111765725	+	ADD3
chr10	111768139	-	ADD3-AS1
chr6	146920135	+	ADGB
chr4	100212185	-	ADH1A
chr4	100242599	-	ADH1B
chr4	100274202	-	ADH1C
chr4	100065449	-	ADH4
chr4	100009939	-	ADH5
chr4	100140403	-	ADH6
chr4	100356667	-	ADH7
chr8	67344717	+	ADHFE1
chr2	3523350	-	ADI1
chr20	37209837	+	ADIG
chr3	186560462	+	ADIPOQ
chr3	186573912	-	ADIPOQ-AS1
chr1	202927700	-	ADIPOR1
chr12	1800246	+	ADIPOR2
chr10	88728187	+	ADIRF
chr10	75910942	+	ADK
chr11	10326526	+	ADM
chr22	50919984	+	ADM2
chr19	50191941	+	ADM5
chr20	49547527	-	ADNP
chr20	49547520	+	ADNP-AS1
chr18	77866914	+	ADNP2
chr10	64564515	+	ADO
chr1	203096835	+	ADORA1
chr22	24819564	+	ADORA2A
chr22	24890783	-	ADORA2A-AS1
chr17	15848230	+	ADORA2B
chr1	112106597	-	ADORA3
chr15	73076126	-	ADPGK
chr15	73075175	+	ADPGK-AS1
chr3	119298279	+	ADPRH
chr13	114107839	-	ADPRHL1
chr1	36554452	+	ADPRHL2
chr17	10600926	+	ADPRM
chr8	26722922	-	ADRA1A
chr5	159343739	+	ADRA1B
chr20	4229659	-	ADRA1D
chr10	112836789	+	ADRA2A
chr2	96781984	-	ADRA2B
chr4	3768295	+	ADRA2C
chr10	115803805	+	ADRB1
chr5	148206155	+	ADRB2
chr8	37824184	-	ADRB3
chr11	67033904	+	ADRBK1
chr22	25960860	+	ADRBK2
chr20	60877951	+	ADRM1
chr22	40742503	+	ADSL
chr1	244615436	-	ADSS
chr14	105190533	+	ADSSL1
chr6	11779280	-	ADTRP
chr7	44143959	+	AEBP1
chr12	19592607	+	AEBP2
chr15	89164526	+	AEN
chr19	3062964	-	AES
chr4	7941653	-	AFAP1
chr4	7755816	+	AFAP1-AS1
chr5	148651400	+	AFAP1L1
chr10	116164537	-	AFAP1L2
chr4	87856153	+	AFF1
chrX	147582138	+	AFF2
chr2	100759037	-	AFF3
chr5	132299354	-	AFF4
chr16	90038987	+	AFG3L1P
chr18	12377275	-	AFG3L2
chr4	74347461	+	AFM
chr17	76183397	+	AFMID
chr4	74301935	+	AFP
chr2	64751438	+	AFTPH
chr4	178363657	-	AGA
chr2	236402732	+	AGAP1
chr10	88730497	+	AGAP11
chr12	58135944	-	AGAP2
chr12	58120022	+	AGAP2-AS1
chr7	150782917	+	AGAP3
chr10	46349325	-	AGAP4
chr10	75457554	-	AGAP5
chr10	51748077	+	AGAP6
chr10	51486327	-	AGAP7P
chr10	47191843	+	AGAP9
chr15	86685241	+	AGBL1
chr15	86860199	-	AGBL1-AS1
chr11	47736928	-	AGBL2
chr7	134671258	+	AGBL3
chr1	50489626	-	AGBL4
chr1	49937757	-	AGBL4-IT1
chr2	27274490	+	AGBL5
chr2	27273132	-	AGBL5-AS1
chr6	32152099	-	AGER
chr2	228336887	+	AGFG1
chr7	100136833	+	AGFG2
chr5	76326209	+	AGGF1
chr7	141251077	+	AGK
chr1	100315639	+	AGL
chr1	15911605	-	AGMAT
chr7	15601640	-	AGMO
chr1	36348809	+	AGO1
chr8	141645646	-	AGO2
chr1	36396682	+	AGO3
chr1	36273827	+	AGO4
chr6	32145888	-	AGPAT1
chr9	139581911	-	AGPAT2
chr21	45285115	+	AGPAT3
chr6	161695107	-	AGPAT4
chr6	161583014	-	AGPAT4-IT1
chr8	6565877	+	AGPAT5
chr8	41435706	+	AGPAT6
chr4	84457066	+	AGPAT9
chr2	178257470	+	AGPS
chr7	16844738	-	AGR2
chr7	16921613	-	AGR3
chr1	955502	+	AGRN
chr16	67517716	-	AGRP
chr1	230850336	-	AGT
chr9	88356944	-	AGTPBP1
chr3	148415657	+	AGTR1
chrX	115301957	+	AGTR2
chr1	11796141	+	AGTRAP
chr2	241808161	+	AGXT
chr5	35048240	-	AGXT2
chr1	247094726	-	AHCTF1
chr2	162364413	-	AHCTF1P1
chr20	32899608	-	AHCY
chr1	110527386	+	AHCYL1
chr7	128864854	+	AHCYL2
chr1	27930005	-	AHDC1
chr6	135818903	-	AHI1
chr11	62314332	-	AHNAK
chr14	105444694	-	AHNAK2
chr7	17338275	+	AHR
chr5	304290	+	AHRR
chr14	77924372	+	AHSA1
chr2	61404554	+	AHSA2
chr3	186330849	+	AHSG
chr16	31539202	+	AHSP
chr12	8765442	-	AICDA
chr1	222885864	-	AIDA
chr6	31582993	+	AIF1
chr9	133971862	+	AIF1L
chrX	129299861	-	AIFM1
chr10	71892690	-	AIFM2
chr22	21319417	+	AIFM3
chr6	143380499	+	AIG1
chr6	106959729	+	AIM1
chr1	26680621	-	AIM1L
chr1	159046647	-	AIM2
chr4	107236766	+	AIMP1
chr7	6048881	+	AIMP2
chr11	67250504	+	AIP
chr17	6338519	-	AIPL1
chr21	45705720	+	AIRE
chr6	160428696	-	AIRN
chr1	4715104	+	AJAP1
chr14	23451851	-	AJUBA
chr9	130640022	-	AK1
chr1	33502512	-	AK2
chr9	4742043	-	AK3
chr1	65613231	+	AK4
chr1	77747661	+	AK5
chr5	68665840	-	AK6
chr14	96858447	+	AK7
chr9	135754198	-	AK8
chr6	110012415	-	AK9
chr17	55162552	+	AKAP1
chr17	19881169	-	AKAP10
chr13	42846288	+	AKAP11
chr6	151561133	+	AKAP12
chr15	85923846	+	AKAP13
chrX	119029935	+	AKAP14
chrX	1660485	+	AKAP17A
chr9	112810877	+	AKAP2
chr12	4758213	-	AKAP3
chrX	49965664	-	AKAP4
chr14	64932216	+	AKAP5
chr14	32798478	+	AKAP6
chr6	131456825	+	AKAP7
chr19	15490612	-	AKAP8
chr19	15529932	-	AKAP8L
chr7	91570188	+	AKAP9
chr11	8932700	+	AKIP1
chr1	39456915	+	AKIRIN1
chr6	88411985	-	AKIRIN2
chr9	117156685	-	AKNA
chr1	109400864	-	AKNAD1
chr1	46016454	+	AKR1A1
chr7	134143888	-	AKR1B1
chr7	134212343	+	AKR1B10
chr7	134233848	+	AKR1B15
chr10	5005453	+	AKR1C1
chr10	5060225	-	AKR1C2
chr10	5090957	+	AKR1C3
chr10	5238797	+	AKR1C4
chr10	4958465	-	AKR1C6P
chr10	5227150	-	AKR1C8P
chr7	137761177	+	AKR1D1
chr10	4868368	+	AKR1E2
chr1	19638640	-	AKR7A2
chr1	113465971	+	AKR7A2P1
chr1	19615280	-	AKR7A3
chr1	19600568	-	AKR7L
chr14	105262080	-	AKT1
chr19	50381613	-	AKT1S1
chr19	40791302	-	AKT2
chr1	244006886	-	AKT3
chr16	53537170	-	AKTIP
chr9	116163618	-	ALAD
chr3	52232098	+	ALAS1
chrX	55057497	-	ALAS2
chr4	74269971	+	ALB
chr3	105085556	+	ALCAM
chr19	49956472	+	ALDH16A1
chr10	97416567	-	ALDH18A1
chr9	75568233	-	ALDH1A1
chr15	58358121	-	ALDH1A2
chr15	101419896	+	ALDH1A3
chr9	38392660	+	ALDH1B1
chr3	125900029	-	ALDH1L1
chr3	125822482	+	ALDH1L1-AS1
chr3	125898907	+	ALDH1L1-AS2
chr12	105478341	-	ALDH1L2
chr12	112204690	+	ALDH2
chr17	19651746	-	ALDH3A1
chr17	19552063	+	ALDH3A2
chr11	67776016	+	ALDH3B1
chr11	67448685	-	ALDH3B2
chr1	19229293	-	ALDH4A1
chr6	24495196	+	ALDH5A1
chr14	74551196	-	ALDH6A1
chr5	125931082	-	ALDH7A1
chr6	135271260	-	ALDH8A1
chr1	165667900	-	ALDH9A1
chr16	30064410	+	ALDOA
chr9	104198062	-	ALDOB
chr17	26903951	-	ALDOC
chr16	5121809	+	ALG1
chr12	34175215	+	ALG10
chr12	38710556	+	ALG10B
chr13	52586522	+	ALG11
chr22	50312106	-	ALG12
chrX	110924345	+	ALG13
chr1	95538507	-	ALG14
chr3	125655887	-	ALG1L
chr3	129800673	+	ALG1L2
chr11	71524905	-	ALG1L9P
chr9	101984246	-	ALG2
chr3	183967313	-	ALG3
chr13	37573504	-	ALG5
chr1	63833260	+	ALG6
chr11	77850699	-	ALG8
chr11	111742305	-	ALG9
chr2	30144477	-	ALK
chr14	78174356	-	ALKBH1
chr12	109531293	-	ALKBH2
chr11	43902356	+	ALKBH3
chr11	43942494	-	ALKBH3-AS1
chr7	102105321	-	ALKBH4
chr17	18086866	+	ALKBH5
chr19	36505145	-	ALKBH6
chr19	6372443	+	ALKBH7
chr11	107436461	-	ALKBH8
chr2	3705785	+	ALLC
chr2	73612885	+	ALMS1
chr2	73684229	+	ALMS1-IT1
chr2	73872045	+	ALMS1P
chr17	6899383	+	ALOX12
chr17	7991021	-	ALOX12B
chr17	6756894	+	ALOX12P2
chr17	4544960	-	ALOX15
chr17	7942357	+	ALOX15B
chr17	6561037	+	ALOX15P1
chr10	45869623	+	ALOX5
chr13	31287614	+	ALOX5AP
chr17	8022234	-	ALOXE3
chr2	233320832	+	ALPI
chr4	113218498	+	ALPK1
chr18	56296189	-	ALPK2
chr15	85359910	+	ALPK3
chr1	21835857	+	ALPL
chr2	233243347	+	ALPP
chr2	233271551	+	ALPPL2
chr2	202645895	-	ALS2
chr3	46735194	-	ALS2CL
chr2	202483905	-	ALS2CR11
chr2	202222121	-	ALS2CR12
chr12	85674035	+	ALX1
chr1	110613322	-	ALX3
chr11	44331716	-	ALX4
chr17	79849462	-	ALYREF
chr5	34008220	-	AMACR
chr4	71457974	+	AMBN
chr9	116840752	-	AMBP
chr11	46615619	-	AMBRA1
chr6	111135823	+	AMD1
chr12	96337070	+	AMDHD1
chr16	2570362	+	AMDHD2
chrX	11311532	+	AMELX
chrY	6742068	-	AMELY
chrX	63425624	-	AMER1
chr13	25746421	-	AMER2
chr2	131513076	+	AMER3
chr16	56459450	-	AMFR
chr19	2249112	+	AMH
chr12	53817638	+	AMHR2
chr11	118095809	-	AMICA1
chr1	110052336	-	AMIGO1
chr12	47473734	-	AMIGO2
chr3	49757238	-	AMIGO3
chrX	109683461	-	AMMECR1
chr2	128643514	-	AMMECR1L
chr14	103388992	+	AMN
chr12	31882108	-	AMN1
chrX	112084043	-	AMOT
chr11	94501507	+	AMOTL1
chr3	134094259	-	AMOTL2
chr1	115238239	-	AMPD1
chr1	110162434	+	AMPD2
chr11	10471867	+	AMPD3
chr7	38671167	-	AMPH
chr3	49460111	-	AMT
chr4	71384288	+	AMTN
chr1	104198140	+	AMY1A
chr1	104198324	+	AMY1B
chr1	104198302	+	AMY1C
chr1	104159998	+	AMY2A
chr1	104097265	+	AMY2B
chr7	2719155	+	AMZ1
chr17	66244144	+	AMZ2
chr17	62971703	-	AMZ2P1
chr2	112641741	-	ANAPC1
chr4	146019693	-	ANAPC10
chr17	79848665	+	ANAPC11
chr3	134204865	-	ANAPC13
chr11	71823822	-	ANAPC15
chr10	73975757	+	ANAPC16
chr2	87088947	+	ANAPC1P1
chr9	140083057	-	ANAPC2
chr4	25378847	+	ANAPC4
chr12	121792012	-	ANAPC5
chr12	110841535	-	ANAPC7
chr14	21152335	+	ANG
chr14	77279283	-	ANGEL1
chr1	213189217	-	ANGEL2
chr8	108510254	-	ANGPT1
chr8	6420784	-	ANGPT2
chr20	896960	-	ANGPT4
chr1	178840215	-	ANGPTL1
chr9	129885044	-	ANGPTL2
chr1	63063157	+	ANGPTL3
chr19	8429010	+	ANGPTL4
chr11	101787253	-	ANGPTL5
chr19	10213425	-	ANGPTL6
chr1	11249345	+	ANGPTL7
chr12	133812422	-	ANHX
chr8	41754280	-	ANK1
chr4	113739238	+	ANK2
chr10	62493284	-	ANK3
chr2	190540710	+	ANKAR
chr15	65204100	+	ANKDD1A
chr5	74907300	+	ANKDD1B
chr20	10015696	+	ANKEF1
chr17	54230835	+	ANKFN1
chr17	4167274	-	ANKFY1
chr5	14871887	-	ANKH
chr5	139781398	+	ANKHD1
chr5	139781398	+	ANKHD1-EIF4EBP3
chr7	91875547	+	ANKIB1
chr11	113258512	+	ANKK1
chr19	17392453	+	ANKLE1
chr12	133338474	-	ANKLE2
chr2	241497438	-	ANKMY1
chr7	16685442	-	ANKMY2
chr5	72861511	-	ANKRA2
chr10	92681032	-	ANKRD1
chr13	111567454	-	ANKRD10
chr16	89556969	-	ANKRD11
chr18	9136750	+	ANKRD12
chr12	110437234	+	ANKRD13A
chr17	27920526	+	ANKRD13B
chr1	70820417	-	ANKRD13C
chr11	67056761	+	ANKRD13D
chr10	5931860	-	ANKRD16
chr4	74124502	-	ANKRD17
chr9	38620360	-	ANKRD18A
chr9	33524410	+	ANKRD18B
chr3	197807542	-	ANKRD18DP
chr9	95571892	+	ANKRD19P
chr10	99332197	+	ANKRD2
chr9	67926760	+	ANKRD20A1
chr21	15352765	-	ANKRD20A11P
chr1	142713605	-	ANKRD20A12P
chr13	24523454	-	ANKRD20A19P
chr9	43133544	-	ANKRD20A2
chr9	67970293	-	ANKRD20A3
chr9	69381980	+	ANKRD20A4
chr18	14179095	+	ANKRD20A5P
chr2	95522820	-	ANKRD20A8P
chr13	19446109	-	ANKRD20A9P
chr10	90611732	-	ANKRD22
chr2	97509758	-	ANKRD23
chr19	4183350	+	ANKRD24
chr10	27389427	-	ANKRD26
chr16	46603009	-	ANKRD26P1
chr13	19919113	-	ANKRD26P3
chr19	33166102	-	ANKRD27
chr3	15901053	-	ANKRD28
chr18	21242849	-	ANKRD29
chr10	37414784	+	ANKRD30A
chr18	14748238	+	ANKRD30B
chr2	133015542	-	ANKRD30BL
chr21	14410486	+	ANKRD30BP2
chr10	45650109	+	ANKRD30BP3
chr5	74532703	-	ANKRD31
chr5	93954390	+	ANKRD32
chr12	52281792	+	ANKRD33
chr5	10564434	+	ANKRD33B
chr1	145470507	+	ANKRD34A
chr5	79866304	-	ANKRD34B
chr15	79575145	+	ANKRD34C
chr1	145549208	+	ANKRD35
chr2	97779232	+	ANKRD36
chr2	98206428	-	ANKRD36B
chr1	168216668	-	ANKRD36BP1
chr2	89065418	+	ANKRD36BP2
chr4	186317839	+	ANKRD37
chr2	97523756	-	ANKRD39
chr17	48785270	-	ANKRD40
chr11	82904780	+	ANKRD42
chr2	198175521	-	ANKRD44
chr2	198167243	-	ANKRD44-IT1
chr1	173639001	-	ANKRD45
chr8	101572014	-	ANKRD46
chr11	94227152	+	ANKRD49
chr4	125633887	-	ANKRD50
chr12	56652143	-	ANKRD52
chr2	71205574	+	ANKRD53
chr22	38240353	-	ANKRD54
chr5	55529186	-	ANKRD55
chr6	90142896	+	ANKRD6
chr7	6071006	+	ANKRD61
chr18	12093847	+	ANKRD62
chr22	17156430	-	ANKRD62P1-PARP4P3
chr15	40574787	-	ANKRD63
chr1	1356824	-	ANKRD65
chr6	46714653	+	ANKRD66
chr7	117864711	+	ANKRD7
chr14	102976128	-	ANKRD9
chr6	34857037	+	ANKS1A
chr12	100378432	-	ANKS1B
chr16	4784378	-	ANKS3
chr16	21245015	+	ANKS4B
chr9	101558794	-	ANKS6
chr3	149510610	-	ANKUB1
chr2	220094478	+	ANKZF1
chr7	36429414	+	ANLN
chr11	69924407	+	ANO1
chr11	69921454	-	ANO1-AS2
chr3	43663560	-	ANO10
chr12	6055398	-	ANO2
chr11	26353677	+	ANO3
chr12	101188373	+	ANO4
chr11	22214721	+	ANO5
chr12	45609769	+	ANO6
chr2	242127923	+	ANO7
chr19	17445638	-	ANO8
chr11	442011	-	ANO9
chr15	69113261	-	ANP32A
chr15	69099440	-	ANP32A-IT1
chr15	35529526	+	ANP32AP1
chr9	100745488	+	ANP32B
chr4	165118863	-	ANP32C
chr12	48866447	+	ANP32D
chr1	150208504	-	ANP32E
chr15	90358072	-	ANPEP
chr2	69240275	+	ANTXR1
chr4	80994626	-	ANTXR2
chr10	47658232	+	ANTXRL
chr10	47640844	-	ANTXRLP1
chr9	75766780	+	ANXA1
chr4	169013687	+	ANXA10
chr10	81965433	-	ANXA11
chr8	124749647	-	ANXA13
chr15	60690185	-	ANXA2
chr4	154229963	-	ANXA2P1
chr9	33624222	+	ANXA2P2
chr10	66585284	+	ANXA2P3
chr5	43040447	-	ANXA2R
chr4	79472741	+	ANXA3
chr2	69969126	+	ANXA4
chr4	122618147	-	ANXA5
chr5	150537443	-	ANXA6
chr10	75173841	-	ANXA7
chr10	48271368	-	ANXA8
chr10	47746849	+	ANXA8L1
chr1	150954498	+	ANXA9
chr7	36764154	-	AOAH
